,sector1,sector2,sector3,sector4,sector5,sector6,sector7,sector8,sector9,sector10,sector11,sector12,sector13,sector14,sector15,sector16,sector17,sector18,sector19,sector20,sector21,sector22,sector23,sector24,sector25,sector26,sector27,sector28,sector29,sector30
10,0.0,32.0,156.0,53.0,166.0,0.0,0.0,0.0,0.0,8.0,82.0,141.0,139.0,0.0,0.0,80.0,0.0,149.0,15.0,488.0,183.0,164.0,93.0,126.0,193.0,87.0,110.0,872.0,381.0,9.0
11,0.0,38.0,91.0,29.0,162.0,28.0,0.0,0.0,0.0,26.0,95.0,291.0,98.0,0.0,0.0,62.0,0.0,98.0,0.0,448.0,88.0,77.0,52.0,211.0,212.0,89.0,116.0,816.0,288.0,8.0
12,0.0,42.0,124.0,42.0,121.0,0.0,0.0,0.0,0.0,12.0,163.0,155.0,129.0,0.0,0.0,64.0,5.0,87.0,0.0,479.0,94.0,147.0,60.0,219.0,223.0,72.0,100.0,872.0,312.0,0.0
13,15.0,42.0,101.0,24.0,194.0,0.0,7.0,0.0,0.0,9.0,116.0,209.0,94.0,0.0,0.0,42.0,0.0,88.0,0.0,524.0,98.0,110.0,44.0,130.0,245.0,164.0,142.0,973.0,398.0,0.0
14,16.0,38.0,96.0,18.0,189.0,0.0,5.0,5.0,0.0,0.0,109.0,148.0,50.0,5.0,0.0,54.0,0.0,87.0,20.0,607.0,109.0,139.0,48.0,423.0,243.0,209.0,172.0,914.0,328.0,0.0
15,0.0,51.0,70.0,69.0,113.0,0.0,0.0,0.0,0.0,14.0,130.0,98.0,70.0,6.0,0.0,57.0,18.0,121.0,0.0,409.0,112.0,164.0,83.0,327.0,308.0,86.0,141.0,996.0,376.0,0.0
16,0.0,87.0,234.0,130.0,165.0,0.0,0.0,0.0,19.0,0.0,178.0,126.0,277.0,26.0,0.0,137.0,0.0,184.0,23.0,694.0,212.0,241.0,174.0,339.0,386.0,152.0,315.0,1569.0,417.0,0.0
17,0.0,46.0,225.0,47.0,193.0,0.0,0.0,0.0,0.0,0.0,189.0,321.0,229.0,16.0,15.0,83.0,15.0,170.0,24.0,636.0,133.0,193.0,185.0,273.0,296.0,111.0,424.0,1742.0,571.0,10.0
18,0.0,49.0,153.0,76.0,177.0,0.0,0.0,0.0,0.0,25.0,195.0,195.0,130.0,14.0,0.0,80.0,0.0,182.0,43.0,665.0,205.0,249.0,107.0,366.0,290.0,96.0,288.0,1619.0,577.0,0.0
19,0.0,61.0,158.0,82.0,200.0,0.0,13.0,0.0,0.0,15.0,169.0,265.0,267.0,13.0,0.0,26.0,0.0,174.0,20.0,624.0,232.0,245.0,148.0,238.0,328.0,35.0,218.0,1577.0,477.0,0.0
20,14.0,53.0,175.0,72.0,134.0,0.0,21.0,0.0,0.0,27.0,168.0,221.0,329.0,16.0,0.0,34.0,31.0,219.0,25.0,597.0,230.0,233.0,126.0,297.0,301.0,12.0,178.0,1441.0,505.0,14.0
21,0.0,41.0,283.0,83.0,232.0,0.0,0.0,0.0,0.0,47.0,119.0,270.0,243.0,18.0,0.0,98.0,0.0,207.0,21.0,669.0,266.0,259.0,181.0,557.0,352.0,15.0,184.0,1624.0,663.0,0.0
22,0.0,38.0,148.0,53.0,321.0,0.0,17.0,0.0,0.0,35.0,103.0,365.0,211.0,18.0,0.0,43.0,0.0,186.0,19.0,692.0,247.0,168.0,108.0,469.0,335.0,58.0,171.0,1442.0,511.0,0.0
23,0.0,53.0,191.0,92.0,250.0,0.0,13.0,0.0,0.0,0.0,107.0,399.0,247.0,0.0,13.0,24.0,0.0,188.0,29.0,722.0,230.0,171.0,118.0,362.0,377.0,45.0,178.0,1442.0,444.0,0.0
24,0.0,50.0,218.0,92.0,279.0,0.0,0.0,0.0,0.0,10.0,128.0,372.0,200.0,14.0,0.0,87.0,0.0,255.0,31.0,684.0,197.0,141.0,112.0,474.0,310.0,41.0,202.0,1539.0,344.0,0.0
25,0.0,42.0,162.0,50.0,252.0,0.0,10.0,0.0,0.0,0.0,130.0,409.0,158.0,0.0,0.0,59.0,16.0,187.0,31.0,713.0,157.0,130.0,115.0,248.0,325.0,33.0,249.0,1458.0,598.0,0.0
26,19.0,81.0,95.0,41.0,297.0,0.0,19.0,0.0,0.0,19.0,56.0,277.0,114.0,19.0,28.0,70.0,0.0,177.0,44.0,659.0,305.0,130.0,139.0,440.0,253.0,47.0,259.0,1606.0,607.0,0.0
27,0.0,60.0,80.0,36.0,248.0,0.0,0.0,0.0,0.0,0.0,80.0,294.0,89.0,79.0,34.0,15.0,22.0,210.0,22.0,726.0,216.0,104.0,179.0,394.0,401.0,18.0,282.0,1662.0,704.0,0.0
